Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Growth media]	Term Source REF	Term Accession Number	Factor Value[Isolation source]	Term Source REF	Term Accession Number	Factor Value[Serovar]	Term Source REF	Term Accession Number	Factor Value[Strain or isolate]	Term Source REF	Term Accession Number
102.100.100/50957	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14386			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50957	Pooled sera			Blood						MS14386		
102.100.100/50958	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14386			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50958	Pooled sera			Blood						MS14386		
102.100.100/50959	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14386			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50959	Pooled sera			Blood						MS14386		
102.100.100/50960	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14386			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50960	Pooled sera			Blood						MS14386		
102.100.100/50961	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14387			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50961	RPMI			Blood						MS14387		
102.100.100/50962	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14387			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50962	RPMI			Blood						MS14387		
102.100.100/50963	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14387			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50963	RPMI			Blood						MS14387		
102.100.100/50964	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14387			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50964	RPMI			Blood						MS14387		
102.100.100/50965	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14387			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50965	RPMI			Blood						MS14387		
102.100.100/50966	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14387			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50966	RPMI			Blood						MS14387		
102.100.100/50967	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14387			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50967	Pooled sera			Blood						MS14387		
102.100.100/50968	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14387			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50968	Pooled sera			Blood						MS14387		
102.100.100/50969	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14387			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50969	Pooled sera			Blood						MS14387		
102.100.100/50970	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14387			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50970	Pooled sera			Blood						MS14387		
102.100.100/50971	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14387			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50971	Pooled sera			Blood						MS14387		
102.100.100/50972	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14387			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50972	Pooled sera			Blood						MS14387		
