database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	102.100.100/50913	102.100.100/50914	102.100.100/50915	102.100.100/50916	102.100.100/50917	102.100.100/50918	102.100.100/50919	102.100.100/50920	102.100.100/50921	102.100.100/50922	102.100.100/50923	102.100.100/50924	102.100.100/50925	102.100.100/50926	102.100.100/50927	102.100.100/50928	102.100.100/50929	102.100.100/50930	102.100.100/50931	102.100.100/50932	102.100.100/50933	102.100.100/50934	102.100.100/50935	102.100.100/50936	102.100.100/50937	102.100.100/50938	102.100.100/50939	102.100.100/50940	102.100.100/50941	102.100.100/50942	102.100.100/50943	102.100.100/50944	102.100.100/50945	102.100.100/50946	102.100.100/50947	102.100.100/50948	102.100.100/50949	102.100.100/50950	102.100.100/50951	102.100.100/50952	102.100.100/50953	102.100.100/50954	102.100.100/50955	102.100.100/50956	102.100.100/50957	102.100.100/50958	102.100.100/50959	102.100.100/50960	102.100.100/50961	102.100.100/50962	102.100.100/50963	102.100.100/50964	102.100.100/50965	102.100.100/50966	102.100.100/50967	102.100.100/50968	102.100.100/50969	102.100.100/50970	102.100.100/50971	102.100.100/50972	metabolite
CHEBI:15999	C9H8O4	OC(=O)C(=O)CC1=CC=C(O)C=C1	InChI=1S/C9H8O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,10H,5H2,(H,12,13)	4-Hydroxyphenylpyruvic acid																	79147	52190	22326	62526	40115	82120	405304	169422	32420	2311	45712	225162	54292	19906	12448	29313	14453	10708	67362	128584	123783	126992	119654	67021	31324	9018	43179	21115	21990	19956	23660	52877	7955	5849	15152	3861	94882	335005	48291	63634	53057	87714	39821	164768	111349	34912	33668	48381	33209	30973	9217	38423	8978	37095	7020	12933	299249	98673	7114	333775	4-Hydroxyphenylpyruvic acid
CHEBI:16856	C10H17N3O6S	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O	InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1	Glutathione																	261408	332136	262342	299119	292021	260182	185961	274702	133493	308317	143596	175353	288355	331176	271287	200124	337402	308393	595733	169368	47645	186938	165211	200939	282447	94874	377096	570079	24113	374755	15446	81859	12927	36145	30155	13619	205818	543739	257398	406330	310749	448156	296460	302248	145329	347222	143717	204439	573738	532403	458751	440108	550441	372481	537668	585361	273211	359927	462273	201988	Glutathione
CHEBI:33508	C3H6O4	OCC(O)C(O)=O	InChI=1S/C3H6O4/c4-1-2(5)3(6)7/h2,4-5H,1H2,(H,6,7)	Glyceric acid																	880266	532044	329852	1430478	512254	916461	366757	480008	360683	193394	182152	439914	1103023	750101	310986	868062	748408	177381	356042	437319	180385	213067	301764	81704	789672	293926	736391	1553351	97584	86477	1000708	565553	186304	63864	58926	300035	872068	1889993	599780	512139	1013897	493270	210334	320988	154776	138398	175485	101694	911736	897576	643676	272097	504161	215002	372868	227373	213072	158479	169476	80107	Glyceric acid
CHEBI:28635	C7H12O5	C(C(=O)O)C(C(=O)O)(O)C(C)C	InChI=1S/C7H12O5/c1-4(2)7(12,6(10)11)3-5(8)9/h4,12H,3H2,1-2H3,(H,8,9)(H,10,11)	2-Isopropylmalic acid																	308024	492790	131200	134209	70057	71127	61664	73338	53380	34134	25770	27829	260415	2081008	96522	153733	152875	45595	48431	67683	11510	51221	29936	6716	102948	2028040	73623	48721	20363	20893	24021	20825	15799	20326	16053	21211	147592	142887	380286	128447	128574	81448	61345	47100	25807	22730	25962	26198	106767	1528814	55940	72820	83669	55065	52041	40559	51421	42314	32584	80605	2-Isopropylmalic acid
CHEBI:17562	C9H13N3O5	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1	InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7-,8-/m1/s1	Cytidine																	161430	340311	343106	262498	363820	718560	185873	149094	179227	108481	91851	194152	286565	152946	93774	216065	207622	108925	334944	170939	87525	128187	140194	77251	451560	146135	963214	280571	77865	171656	145186	974348	66479	60511	64926	107704	1861669	934318	2584523	188334	1170790	406323	218991	579993	191177	159658	243740	135809	142167	109787	128228	182592	169857	189484	370646	289257	138554	340284	269761	200149	Cytidine
CHEBI:30813	C10H20O2	C(CCCCCC)CCC(=O)O	InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)	Capric acid																	95489	89563	109115	122516	122226	124618	101242	126284	104201	146495	97534	113004	98896	106179	96467	127565	112243	111568	157627	122357	140818	129764	120939	158451	96912	123464	119211	219936	124856	112741	113757	113589	124488	130197	118073	110367	123234	96868	122629	113518	135749	123940	135003	126735	159713	130517	105053	144262	130102	115063	100542	102409	100000	140651	138710	130670	106329	125284	132854	150782	Capric acid
CHEBI:15756	C16H32O2	CCCCCCCCCCCCCCCC(O)=O	InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)	Palmitic acid																	1313717	1361248	1520907	1537780	1870200	1355175	1031480	2075909	1383890	1147719	884688	1383791	1604379	1482403	1176565	1385417	1158827	740430	1272960	2110198	2413944	2846374	1310062	1904437	1924862	201415	1456783	710592	1010629	987506	1555267	2233814	2400615	2042264	1553426	2140709	1626082	1450825	1522070	1229338	1153118	1033505	1331250	1771034	1582212	1224574	1383227	1048878	2511685	1383178	1393838	1469845	1484937	1151062	1784732	1706773	1923074	1833612	1041735	1513103	Palmitic acid
CHEBI:17568	C4H4N2O2	O=c1cc[nH]c(=O)[nH]1	InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)	Uracil																	51780	18579	749755	305434	115433	104332	2273	4695	958	12242	2280	7789	36731	13976	255453	136392	8953	73150	8672	16272	7926	9500	3492	27460	13656	6849	53191	720057	2577	52846	3173	4280	12113	3976	4386	1359	11688	19141	100330	312482	118023	129779	19872	14237	10182	3668	7077	10882	122889	80116	993324	885085	674529	330857	216596	1368	4220	21662	43774	15924	Uracil
CHEBI:17596	C10H12N4O5	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(O)ncnc12	InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1	Inosine																	295703	152675	51984	203279	238389	393637	591676	154153	264545	68416	63506	314762	1033902	418720	54827	265009	325440	10852	179556	1140364	261774	325887	839221	49084	185745	56023	292857	68635	31132	1811	727514	1012634	160618	59453	26457	478700	921439	586003	619611	32155	1009515	37929	87465	281846	46262	33313	71119	36668	136642	61247	34715	98522	64248	52528	57887	48238	127211	34524	71951	85099	Inosine
CHEBI:16750	C10H13N5O5	Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1	Guanosine																	36094	98199	60681	57950	94009	136701	77673	29019	53195	5417	7693	54069	91628	20607	3044	38943	66472	6577	17380	53005	26238	12023	68097	6983	46658	16388	145128	49272	6049	15094	81969	276280	19735	2783	5496	48651	405949	269540	562410	23242	353566	71128	61822	115366	53403	6411	53044	26099	5085	7977	2451	21154	17773	17015	15537	12407	22980	35205	19776	46390	Guanosine
CHEBI:15570	C3H7NO2	C[C@@H](N)C(O)=O	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m1/s1	D-Alanine																	589581	708300	402897	440695	190595	317579	94000	109619	94606	94416	22105	51521	626545	489069	297261	325482	244382	186575	183451	43010	26706	73020	40639	40111	242429	39436	224908	347192	30018	148390	45443	43215	19748	16042	10034	27287	348007	653431	310870	448505	270784	296208	97439	87289	34737	59602	33934	38068	352853	278504	252530	268182	186459	128490	113046	92083	53269	92106	78867	50829	D-Alanine
CHEBI:53678	C9H10ClNO3	N[C@@H](Cc1ccc(O)c(Cl)c1)C(O)=O	InChI=1S/C9H10ClNO3/c10-6-3-5(1-2-8(6)12)4-7(11)9(13)14/h1-3,7,12H,4,11H2,(H,13,14)/t7-/m0/s1	3-Chlorotyrosine																	1357602	1602552	1577541	1528352	1374975	1584334	887002	1233452	1074200	1308169	978935	1013661	1066609	1578112	1595602	1304521	1467157	1713493	1457513	1058123	964403	951506	1153591	1197033	1352270	1557932	1139919	1427555	1441692	1539143	1489471	1256256	1467245	1651170	1876787	1668727	1226003	1254297	1356139	1588508	1404760	1830864	1248576	1168989	1074258	1087316	1014334	1366220	870171	821123	1037124	980711	1073334	1142267	579812	683894	608112	367438	494989	574194	3-Chlorotyrosine
CHEBI:15699	C4H9NO3	N[C@@H](CCO)C(O)=O	InChI=1S/C4H9NO3/c5-3(1-2-6)4(7)8/h3,6H,1-2,5H2,(H,7,8)/t3-/m0/s1	L-Homoserine																	100837	166386	86331	63152	34198	103073	21199	24539	10953	19656	13143	26378	49113	81359	70622	29058	24509	27666	16664	10035	12463	41309	18442	25557	41219	14304	58989	32618	4516	39047	10659	22845	9230	14327	13799	17479	51065	180320	104362	53227	39381	94982	30452	26096	15959	30156	15795	21647	41136	80382	58829	31174	38001	29991	78706	61993	34908	43268	53019	40353	L-Homoserine
CHEBI:89843	C5H8O4			Methylsuccinic acid																	89665	194403	77336	54183	32099	47275	311287	576721	319258	172711	128556	427348	68853	101035	71452	8011	51591	85225	134553	91679	68893	74989	39247	52544	13837	3930	11675	41564	3537	19006	10118	74572	7568	6060	7833	5829	157517	360830	127095	184045	125064	165736	151350	191528	210211	252468	89238	125708	146543	209459	114777	64919	220468	126408	82561	99886	397236	48791	85183	90395	Methylsuccinic acid
CHEBI:15422	C10H16N5O13P3	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1	Adenosine triphosphate																	296907	175442	263780	224876	358836	284537	97474	172690	141638	147828	211882	144229	44327	166890	513274	424961	257530	557093	92754	117597	86657	144502	170121	203661	307809	238177	361134	620061	482352	788071	68212	112502	27454	80733	55884	98111	96244	13143	91301	595045	77656	848858	42794	111048	224671	180703	102576	111681	179678	206059	274162	149087	529795	211767	52549	128712	83250	137517	196995	109188	Adenosine triphosphate
CHEBI:17050	C3H7O7P	OC(COP(O)(O)=O)C(O)=O	InChI=1S/C3H7O7P/c4-2(3(5)6)1-10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)	3-Phosphoglyceric acid																	14271011	20905858	12652388	20918752	15191536	7484894	5861912	14250895	9416290	7730975	7089242	8251404	22103860	29508507	14988025	23322939	21374900	6758264	13681614	15699791	3243785	9497730	11909835	1009945	19773014	10699413	17294054	22554563	3777088	3783746	4543597	3256364	330963	340037	378768	661333	20513650	37861501	19881870	29494260	25039416	23221889	6178024	11411410	5234314	11286044	5587443	1114945	29354124	29440599	23854218	25256569	33226542	19019817	10558690	11784927	7115785	9268349	5259320	3310259	3-Phosphoglyceric acid
CHEBI:35932	C6H10O3	CCC(C)C(=O)C(O)=O	InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)	3-Methyl-2-oxovaleric acid																	30591	50176	12213	33480	9244	28327	68797	33309	11352	11856	26884	27750	49346	34983	6430	15085	11005	9546	40079	7865	20498	11615	31364	39709	13455	3498	10842	40666	6591	13078	4593	10140	6424	7237	8430	1732	42889	131758	15381	45154	25656	26577	19268	55122	43610	15265	11542	39360	32003	15590	11878	18908	22874	5945	12977	13885	66094	14881	18075	63315	3-Methyl-2-oxovaleric acid
CHEBI:17361	C9H14N3O8P	Nc1ccn([C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)c(=O)n1	InChI=1S/C9H14N3O8P/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H2,10,11,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1	Cytidine monophosphate																	1105370	750070	894924	1190181	1377614	1333359	502655	495917	526398	626200	483043	619951	1616213	1746358	1141690	1749117	1843742	1221227	508340	136077	102328	238496	179429	224495	1611533	1017992	1645609	1597609	530395	1377190	113615	79985	49275	76381	79362	97062	762832	1787685	846830	1430435	1370322	1442570	823573	531420	422370	953617	519753	564742	1973676	2011858	1119534	1531745	1326973	1537499	990918	946165	494539	964164	612217	684515	Cytidine monophosphate
CHEBI:73685	C7H12N2O4	CC(=O)NC(CCC(N)=O)C(O)=O	InChI=1S/C7H12N2O4/c1-4(10)9-5(7(12)13)2-3-6(8)11/h5H,2-3H2,1H3,(H2,8,11)(H,9,10)(H,12,13)	N-Acetylglutamine																	18232	11734	21867	19233	53220	29305	11685	12012	17332	10040	12726	20991	46263	21652	29203	40329	107999	51267	43114	28993	12991	111763	27026	43917	26066	44820	17390	24589	20604	46597	21756	14654	25710	27610	20498	17202	21055	25372	6015	14163	13868	19326	3472	22328	3232	69886	27707	11679	31142	31467	30246	19286	81108	39725	24947	111538	86965	38090	156166	39570	N-Acetylglutamine
CHEBI:16680	C14H20N6O5S	N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12)C(O)=O	InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1	S-Adenosylhomocysteine																	28656	37951	52401	45718	64872	63413	61699	53816	90197	121743	111834	59168	3569	6895	18874	9392	6871	33179	65757	59512	25104	54139	51715	62984	37056	6747	29366	41598	4919	63821	3601	36992	946	1365	3121	745	26291	38016	36506	47649	28166	110370	66860	60299	41411	69408	37242	41885	22683	31879	40720	34563	43375	75904	122947	142314	82011	68246	119818	65887	S-Adenosylhomocysteine
CHEBI:30794	C3H4O4	OC(=O)CC(O)=O	InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)	Malonic acid																	178151	178280	141028	153932	177114	178930	167097	130109	197716	197292	175354	189277	167288	180450	152668	159983	147540	170182	190100	213579	180429	201513	219874	145547	127278	169019	154379	133898	158693	170657	274284	172378	188863	184952	178912	166893	142787	131299	216870	163397	205058	172032	165026	206993	173971	149655	167817	171443	202161	192575	156308	165723	128329	119068	178122	154814	201123	150777	144824	206755	Malonic acid
CHEBI:17858	C20H32N6O12S2	N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O	InChI=1S/C20H32N6O12S2/c21-9(19(35)36)1-3-13(27)25-11(17(33)23-5-15(29)30)7-39-40-8-12(18(34)24-6-16(31)32)26-14(28)4-2-10(22)20(37)38/h9-12H,1-8,21-22H2,(H,23,33)(H,24,34)(H,25,27)(H,26,28)(H,29,30)(H,31,32)(H,35,36)(H,37,38)/t9-,10-,11-,12-/m0/s1	Oxidized glutathione																	9585569	15264242	10911085	13472735	10695450	12133058	7653618	14163805	6748994	15479524	7083333	10561912	7628325	15853025	12828524	8798477	15109536	15011658	28522338	8650447	2868520	10870566	7602552	9695827	10175526	3513575	17167572	25679556	1927975	17929233	1093091	2914416	236636	1451465	1520604	527156	5967125	23451174	11472369	18254376	12040748	19797022	17056535	12503506	10091800	17826765	5425323	10135458	26493531	23647669	21217311	13765903	24805418	14712602	26915889	27897533	12590332	16220727	20955656	10203625	Oxidized glutathione
CHEBI:25722	C10H12N2O8	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1c(cc(=O)[nH]c1=O)C(O)=O	InChI=1S/C10H12N2O8/c13-2-4-6(15)7(16)8(20-4)12-3(9(17)18)1-5(14)11-10(12)19/h1,4,6-8,13,15-16H,2H2,(H,17,18)(H,11,14,19)/t4-,6-,7-,8-/m1/s1	Orotidine																	1605665	1656427	1755152	2057959	1953578	2454175	127792	296967	114548	355799	203054	181641	1701710	2500857	2769256	2137628	2518046	3279868	366997	194753	83943	272526	241153	211861	1407200	1512580	1820414	1318800	756237	2124044	102144	112956	19550	30656	30801	32929	1479952	2110903	1933769	1969286	1442003	2673934	332219	287737	200969	336581	278268	261798	697465	968852	831310	658920	1017375	998740	135663	292681	75786	213191	247188	102134	Orotidine
CHEBI:15918	C9H14N3O7P	Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)c(=O)n1	InChI=1S/C9H14N3O7P/c10-7-1-2-12(9(14)11-7)8-3-5(13)6(19-8)4-18-20(15,16)17/h1-2,5-6,8,13H,3-4H2,(H2,10,11,14)(H2,15,16,17)/t5-,6+,8+/m0/s1	dCMP																	88667	122334	109612	107073	71700	94175	34526	58175	47699	78830	46789	48692	117653	190749	92318	85309	109681	75221	79126	35501	36260	59179	23658	51473	140748	83657	185267	166825	20105	69717	9483	12685	3431	4432	9055	3413	97284	315697	108435	170023	181457	166702	146208	74566	81005	149800	48160	77441	305246	223069	180673	177691	157748	161956	136303	124007	74952	75511	71615	61532	dCMP
CHEBI:27389	C4H9NO2	CC(CN)C(O)=O	InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H,2,5H2,1H3,(H,6,7)	3-Aminoisobutanoic acid																	33248	30943	10739	12016	41053	32327	99080	156538	40473	238811	42158	71170	51915	17111	11607	20130	25537	27398	321792	57562	19798	99805	67823	48987	4384	2118	7745	932	18558	11118	13271	1074	904	3256	14070	2116	37689	61133	77003	31816	52185	76321	146285	272370	48246	159501	155221	62326	26765	18189	12254	10733	19599	14742	129892	281442	30506	150754	131080	40204	3-Aminoisobutanoic acid
CHEBI:30772	C4H8O2	CCCC(O)=O	InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)	Butyric acid																	168874	92855	74633	176018	45919	90741	33015	14644	20087	3804	10842	23007	113029	51763	11499	54350	32552	18001	15914	13670	3950	7876	4721	5166	22146	4077	15930	24977	875	7938	1141	0	0	0	0	0	83867	56721	40745	47194	57867	28023	6540	4355	6576	1784	2574	7759	14374	20990	22931	58022	21352	31408	4912	2028	2197	4483	2452	9293	Butyric acid
CHEBI:17754	C3H8O3	OCC(O)CO	InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2	Glycerol																	19532	20885	21222	20749	12336	13500	20733	25489	19596	15043	20609	16506	22968	18691	11639	23252	18818	16234	18379	14330	11327	18691	20343	29173	19453	11770	20776	28303	18483	20774	16029	22432	14999	22418	23874	16787	20218	12670	10204	22250	16591	32362	23029	21809	24136	26196	22850	13323	26006	21885	27793	16020	24525	11879	11777	22928	15930	16851	14545	10138	Glycerol
CHEBI:16828	C11H12N2O2	N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	L-Tryptophan																	48908	64672	34447	57967	49785	47181	7612	16773	73103	12018	22134	25097	64439	93468	34513	50525	54308	41374	77960	39760	12709	28688	25915	19053	45087	18523	33272	74019	5583	27883	3894	19510	9151	9372	13185	11969	97855	287461	51845	132759	546926	92541	62099	55836	41153	63204	43251	21509	47575	40411	18198	24782	26830	17685	13586	28886	21900	10302	16599	20775	L-Tryptophan
CHEBI:15698	C9H13N3O4	Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1	InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1	Deoxycytidine																	6270	28711	20129	16771	13113	45534	1376	0	83010	663	644	0	20230	6419	0	16832	8938	0	2241	9364	8358	2424	9141	681	29033	8651	92411	24338	826	1952	7958	116612	1440	0	0	1792	250655	133792	359732	13883	145373	34167	20307	48829	10774	2637	5291	5978	0	1283	0	5272	924	3428	915	1902	2903	7153	0	1272	Deoxycytidine
CHEBI:45931	C12H18N4O7P2S	CC1=C(CCOP(O)(=O)OP(O)([O-])=O)SC=[N+]1CC1=C(N)N=C(C)N=C1	InChI=1S/C12H18N4O7P2S/c1-8-11(3-4-22-25(20,21)23-24(17,18)19)26-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7H,3-4,6H2,1-2H3,(H4-,13,14,15,17,18,19,20,21)	Thiamine pyrophosphate																	144699	177473	82904	150109	204729	235616	97142	108146	131991	48526	59380	277002	159008	214407	155340	141696	160457	204447	135940	110995	86221	85081	105985	150909	103062	94833	139715	181002	47009	116460	45051	113428	7051	22070	36875	43414	105687	231563	129384	143206	130915	195410	100065	72748	103252	77180	69675	86377	198615	235901	117212	125363	189020	163975	68395	66712	118498	66738	52250	142965	Thiamine pyrophosphate
CHEBI:30835	C7H10O7	CC(C(O)=O)C(O)(CC(O)=O)C(O)=O	InChI=1S/C7H10O7/c1-3(5(10)11)7(14,6(12)13)2-4(8)9/h3,14H,2H2,1H3,(H,8,9)(H,10,11)(H,12,13)	2-Methylcitric acid																	164028	264098	1315414	722472	200236	1031213	347365	668398	1733211	1645723	426824	1399921	65630	39069	17021	9550	23168	31766	152340	360724	58897	84864	219728	25714	2360	2615	2532	2194	1279	2050	8454	19428	3927	3682	3423	3765	11477	40441	26866	11029	3820	16939	408234	235463	114010	115739	168616	1915	5813	4184	5925	6252	5293	4513	112117	58845	41106	58032	28784	26569	2-Methylcitric acid
CHEBI:16634	C18H32O16	OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O	InChI=1S/C18H32O16/c19-1-5-8(22)11(25)13(27)16(31-5)30-3-7-9(23)12(26)14(28)17(32-7)34-18(4-21)15(29)10(24)6(2-20)33-18/h5-17,19-29H,1-4H2/t5-,6-,7-,8+,9-,10-,11+,12+,13-,14-,15+,16+,17-,18+/m1/s1	Raffinose																	408954	193569	35770	170294	122862	185641	486911	157508	101995	73505	7835	129492	456067	198218	43481	100717	138515	12540	230787	68302	15288	28455	81633	22865	66313	19317	9411	40221	5505	6689	6893	12062	5896	4128	1180	1678	376747	487974	200836	47507	264132	65718	46182	200216	9175	6068	114467	17872	175140	160327	46814	172587	72887	135235	127519	98379	188946	159491	86139	150968	Raffinose
CHEBI:30776	C6H12O2	CCCCCC(O)=O	InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)	Caproic acid																	335019	216107	257825	390987	334246	321791	315395	318308	281185	348724	220493	284199	254930	217917	232591	317752	318695	249424	392131	318870	307213	277820	295587	387046	319688	375054	504909	302526	384150	255941	321711	338391	329168	298781	335354	352774	327153	222580	306250	245518	310345	343189	230598	410876	398014	292201	231213	397725	254971	208506	282073	301319	297165	376980	274948	308004	272622	296147	311137	344398	Caproic acid
CHEBI:16708	C5H5N5	Nc1ncnc2[nH]cnc12	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)	Adenine																	1972578	2979184	1917637	4370882	4864863	7367972	2264054	2610273	1829866	1715773	1433492	3128045	2587626	1218197	1035530	2326001	1790660	1474044	1465879	1859566	851119	1684932	1906985	1097405	4856205	1930945	11190789	7764263	1012954	705002	3768645	5994331	867753	744651	801067	1671884	9974412	3815111	10560554	1099628	8434062	1683260	835909	4410177	668202	968983	2682563	480964	1480600	1417773	1329866	1599684	1434493	1441182	1621846	2124468	1342396	3110975	1222132	1645538	Adenine
CHEBI:16908	C21H29N7O14P2	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	NADH																	2484	128416	28422	3114	40932	61438	341311	288471	36446	4962	1184	196486	36063	151918	44319	51633	24103	55139	1587355	388085	99304	256936	172836	8304	183108	156333	140142	232	46961	5883	52933	4493	0	543	1822	3761	462814	651793	335484	131099	187622	128118	251296	297706	274	3483	163293	6606	151509	271325	71866	40803	18866	58806	195278	112620	1076071	76815	16389	869169	NADH
CHEBI:29864	C6H14O6			Mannitol																	68132	6676	103218	131519	3062	4140	381271	3419	52169	26120	9878	3241	76765	46338	23548	43291	44071	14605	119468	14540	7432	56152	6856	30798	6243	3893	3636	15678	66661	7536	171049	28179	113913	601299	23026	32340	42995	92856	28647	10484	23417	876792	29710	2034	72652	8946	30496	16182	99635	195011	26475	81633	132143	29187	185730	52054	13898	8390	22270	4353	Mannitol
CHEBI:17509	C11H15N5O3S	CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12	InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1	5'-Methylthioadenosine																	27287	42448	30542	31525	15431	22420	107174	117541	55627	91327	63549	89518	45841	52506	30272	18068	40736	20006	84953	61984	28225	48870	92128	37817	23645	22122	26966	45918	2506	13512	14479	67551	6049	18635	34669	12873	12459	75260	21970	19165	29668	22797	29886	127932	21158	45564	54071	14007	40185	39894	28922	28990	34455	25520	91715	156019	112060	88437	114305	100372	5'-Methylthioadenosine
